model, repeats, problem, problem size, best_value, best_time, best_iteration, best_ffe
BinaryGreedyRSOptimizer, 4, CBinaryIsingSpinGlassEvaluation, 25, 1, 0.0009925, 8, 814, 
BinaryGreedyRSOptimizer, 4, CBinaryIsingSpinGlassEvaluation, 49, 1, 0.1820061, 217, 43617, 
BinaryGreedyRSOptimizer, 4, CBinaryIsingSpinGlassEvaluation, 100, 0.964706420898438, 0.044, 13, 5265, 
BinaryGreedyRSOptimizer, 4, CBinaryIsingSpinGlassEvaluation, 484, 0.919906616210938, 16.1830075, 208, 403728, 
BinaryGreedyRSOptimizer, 4, CBinaryNKLandscapesEvaluation, 10, 1, 0.0009955, 8, 327, 
BinaryGreedyRSOptimizer, 4, CBinaryNKLandscapesEvaluation, 50, 0.960357666015625, 0.1080009, 112, 22960, 
BinaryGreedyRSOptimizer, 4, CBinaryNKLandscapesEvaluation, 100, 0.938766479492188, 0.1510011, 38, 15390, 
BinaryGreedyRSOptimizer, 4, CBinaryNKLandscapesEvaluation, 200, 0.9010009765625, 1.5089999, 100, 80500, 
BinaryGreedyRSOptimizer, 4, CBinaryOneMaxEvaluation, 5, 5, 0, 1, 7, 
BinaryGreedyRSOptimizer, 4, CBinaryOneMaxEvaluation, 10, 10, 0.001, 1, 23, 
BinaryGreedyRSOptimizer, 4, CBinaryOneMaxEvaluation, 20, 20, 0, 1, 43, 
BinaryGreedyRSOptimizer, 4, CBinaryOneMaxEvaluation, 30, 30, 0, 1, 32, 
BinaryGreedyRSOptimizer, 4, CBinaryOneMaxEvaluation, 40, 40, 0, 1, 83, 
BinaryGreedyRSOptimizer, 4, CBinaryOneMaxEvaluation, 50, 50, 0, 1, 52, 
BinaryGreedyRSOptimizer, 4, CBinaryStandardDeceptiveConcatenationEvaluation, 5, 5, 0.0010001, 18, 432, 
BinaryGreedyRSOptimizer, 4, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 10, 0.0099966, 217, 9732, 
BinaryGreedyRSOptimizer, 4, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 19, 0.0200036, 130, 11050, 
BinaryGreedyRSOptimizer, 4, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 27, 0.0299937, 94, 11750, 
BinaryGreedyRSOptimizer, 4, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 35, 0.0130046, 23, 3795, 
BinaryGreedyRSOptimizer, 4, CBinaryStandardDeceptiveConcatenationEvaluation, 50, 44, 0.0149987, 18, 3690, 
BinaryGreedyRSOptimizer, 4, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0.007, 151, 6762, 
BinaryGreedyRSOptimizer, 4, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 8, 0, 1, 85, 
BinaryGreedyRSOptimizer, 4, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 13, 0.0230193, 73, 9125, 
BinaryGreedyRSOptimizer, 4, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 17, 0.039004, 71, 11715, 
BinaryGreedyRSOptimizer, 4, CBinaryBimodalDeceptiveConcatenationEvaluation, 50, 21, 0.0940022, 108, 22140, 
BinaryGreedyRSOptimizer, 4, CBinaryIsingSpinGlassEvaluation, 25, 1, 0.0180021, 76, 7928, 
BinaryGreedyRSOptimizer, 4, CBinaryIsingSpinGlassEvaluation, 49, 0.975906372070313, 0.033009, 37, 7437, 
BinaryGreedyRSOptimizer, 4, CBinaryIsingSpinGlassEvaluation, 100, 0.976470947265625, 0.3329937, 96, 38880, 
BinaryGreedyRSOptimizer, 4, CBinaryIsingSpinGlassEvaluation, 484, 0.922332763671875, 4.827997, 62, 120342, 
BinaryGreedyRSOptimizer, 4, CBinaryNKLandscapesEvaluation, 10, 1, 0, 8, 327, 
BinaryGreedyRSOptimizer, 4, CBinaryNKLandscapesEvaluation, 50, 0.965682983398438, 0.1829999, 185, 37925, 
BinaryGreedyRSOptimizer, 4, CBinaryNKLandscapesEvaluation, 100, 0.923171997070313, 0.4330101, 113, 45765, 
BinaryGreedyRSOptimizer, 4, CBinaryNKLandscapesEvaluation, 200, 0.890609741210938, 2.9850019, 194, 156170, 
BinaryGreedyRSOptimizer, 4, CBinaryOneMaxEvaluation, 5, 5, 0, 1, 13, 
BinaryGreedyRSOptimizer, 4, CBinaryOneMaxEvaluation, 10, 10, 0, 1, 12, 
BinaryGreedyRSOptimizer, 4, CBinaryOneMaxEvaluation, 20, 20, 0, 1, 43, 
BinaryGreedyRSOptimizer, 4, CBinaryOneMaxEvaluation, 30, 30, 0, 1, 63, 
BinaryGreedyRSOptimizer, 4, CBinaryOneMaxEvaluation, 40, 40, 0, 1, 42, 
BinaryGreedyRSOptimizer, 4, CBinaryOneMaxEvaluation, 50, 50, 0.0009989, 1, 103, 
BinaryGreedyRSOptimizer, 4, CBinaryStandardDeceptiveConcatenationEvaluation, 5, 5, 0, 9, 207, 
BinaryGreedyRSOptimizer, 4, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 10, 0.0079982, 163, 7302, 
BinaryGreedyRSOptimizer, 4, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 19, 0.0330012, 187, 15895, 
BinaryGreedyRSOptimizer, 4, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 26, 0.001, 2, 250, 
BinaryGreedyRSOptimizer, 4, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 35, 0.0339982, 62, 10230, 
BinaryGreedyRSOptimizer, 4, CBinaryStandardDeceptiveConcatenationEvaluation, 50, 44, 0.1919986, 225, 46125, 
BinaryGreedyRSOptimizer, 4, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 4, 0, 1, 45, 
BinaryGreedyRSOptimizer, 4, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0.0110052, 75, 6375, 
BinaryGreedyRSOptimizer, 4, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 13, 0.0169924, 50, 6250, 
BinaryGreedyRSOptimizer, 4, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 17, 0.0209723, 38, 6270, 
BinaryGreedyRSOptimizer, 4, CBinaryBimodalDeceptiveConcatenationEvaluation, 50, 21, 0.0249982, 30, 6150, 
BinaryGreedyRSOptimizer, 4, CBinaryIsingSpinGlassEvaluation, 25, 1, 0.0039994, 19, 1943, 
BinaryGreedyRSOptimizer, 4, CBinaryIsingSpinGlassEvaluation, 49, 0.975906372070313, 0.2029961, 244, 49044, 
BinaryGreedyRSOptimizer, 4, CBinaryIsingSpinGlassEvaluation, 100, 0.976470947265625, 0.1599926, 47, 19035, 
BinaryGreedyRSOptimizer, 4, CBinaryIsingSpinGlassEvaluation, 484, 0.924758911132813, 11.8959927, 155, 300855, 
BinaryGreedyRSOptimizer, 4, CBinaryNKLandscapesEvaluation, 10, 1, 0.0010012, 14, 597, 
BinaryGreedyRSOptimizer, 4, CBinaryNKLandscapesEvaluation, 50, 0.949447631835938, 0.0499935, 51, 10455, 
BinaryGreedyRSOptimizer, 4, CBinaryNKLandscapesEvaluation, 100, 0.94537353515625, 0.681006, 175, 70875, 
BinaryGreedyRSOptimizer, 4, CBinaryNKLandscapesEvaluation, 200, 0.90106201171875, 0.6449958, 43, 34615, 
BinaryGreedyRSOptimizer, 4, CBinaryOneMaxEvaluation, 5, 5, 0, 1, 13, 
BinaryGreedyRSOptimizer, 4, CBinaryOneMaxEvaluation, 10, 10, 0, 1, 12, 
BinaryGreedyRSOptimizer, 4, CBinaryOneMaxEvaluation, 20, 20, 0, 1, 43, 
BinaryGreedyRSOptimizer, 4, CBinaryOneMaxEvaluation, 30, 30, 0, 1, 32, 
BinaryGreedyRSOptimizer, 4, CBinaryOneMaxEvaluation, 40, 40, 0.0010005, 1, 83, 
BinaryGreedyRSOptimizer, 4, CBinaryOneMaxEvaluation, 50, 50, 0, 1, 103, 
BinaryGreedyRSOptimizer, 4, CBinaryStandardDeceptiveConcatenationEvaluation, 5, 5, 0.0010051, 29, 707, 
BinaryGreedyRSOptimizer, 4, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 9, 0, 5, 225, 
BinaryGreedyRSOptimizer, 4, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 19, 0.0040003, 25, 2125, 
BinaryGreedyRSOptimizer, 4, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 28, 0.0480101, 154, 19250, 
BinaryGreedyRSOptimizer, 4, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 35, 0.0329944, 57, 9405, 
BinaryGreedyRSOptimizer, 4, CBinaryStandardDeceptiveConcatenationEvaluation, 50, 43, 0.020999, 25, 5125, 
BinaryGreedyRSOptimizer, 4, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0.0070124, 160, 7167, 
BinaryGreedyRSOptimizer, 4, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0.0069927, 48, 4080, 
BinaryGreedyRSOptimizer, 4, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 13, 0.0099954, 32, 4000, 
BinaryGreedyRSOptimizer, 4, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 17, 0.025001, 46, 7590, 
BinaryGreedyRSOptimizer, 4, CBinaryBimodalDeceptiveConcatenationEvaluation, 50, 21, 0.0960076, 113, 23165, 
BinaryGreedyRSOptimizer, 4, CBinaryIsingSpinGlassEvaluation, 25, 1, 0.0070081, 30, 3098, 
BinaryGreedyRSOptimizer, 4, CBinaryIsingSpinGlassEvaluation, 49, 1, 0.0169887, 20, 3970, 
BinaryGreedyRSOptimizer, 4, CBinaryIsingSpinGlassEvaluation, 100, 0.976470947265625, 0.7019926, 208, 84240, 
BinaryGreedyRSOptimizer, 4, CBinaryIsingSpinGlassEvaluation, 484, 0.91748046875, 0.2300017, 3, 5823, 
BinaryGreedyRSOptimizer, 4, CBinaryNKLandscapesEvaluation, 10, 1, 0.0019903, 40, 1767, 
BinaryGreedyRSOptimizer, 4, CBinaryNKLandscapesEvaluation, 50, 0.958084106445313, 0.109011, 106, 21730, 
BinaryGreedyRSOptimizer, 4, CBinaryNKLandscapesEvaluation, 100, 0.933639526367188, 0.3799891, 98, 39690, 
BinaryGreedyRSOptimizer, 4, CBinaryNKLandscapesEvaluation, 200, 0.9149169921875, 0.2120067, 14, 11270, 
BinaryGreedyRSOptimizer, 4, CBinaryOneMaxEvaluation, 5, 5, 0, 1, 13, 
BinaryGreedyRSOptimizer, 4, CBinaryOneMaxEvaluation, 10, 10, 0, 1, 12, 
BinaryGreedyRSOptimizer, 4, CBinaryOneMaxEvaluation, 20, 20, 0, 1, 22, 
BinaryGreedyRSOptimizer, 4, CBinaryOneMaxEvaluation, 30, 30, 0, 1, 32, 
BinaryGreedyRSOptimizer, 4, CBinaryOneMaxEvaluation, 40, 40, 0, 1, 83, 
BinaryGreedyRSOptimizer, 4, CBinaryOneMaxEvaluation, 50, 50, 0, 1, 52, 
BinaryGreedyRSOptimizer, 4, CBinaryStandardDeceptiveConcatenationEvaluation, 5, 5, 0, 6, 132, 
BinaryGreedyRSOptimizer, 4, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 9, 0.0009997, 4, 180, 
BinaryGreedyRSOptimizer, 4, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 19, 0.0300107, 197, 16745, 
BinaryGreedyRSOptimizer, 4, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 26, 0, 2, 250, 
BinaryGreedyRSOptimizer, 4, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 36, 0.113006, 208, 34320, 
BinaryGreedyRSOptimizer, 4, CBinaryStandardDeceptiveConcatenationEvaluation, 50, 43, 0.0170075, 21, 4305, 
BinaryGreedyRSOptimizer, 4, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0.0100002, 247, 11082, 
BinaryGreedyRSOptimizer, 4, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0.0240016, 167, 14195, 
BinaryGreedyRSOptimizer, 4, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 13, 0.0080037, 25, 3125, 
BinaryGreedyRSOptimizer, 4, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 17, 0.0099905, 19, 3135, 
BinaryGreedyRSOptimizer, 4, CBinaryBimodalDeceptiveConcatenationEvaluation, 50, 21, 0.0130001, 15, 3075, 
BinaryGreedyRSOptimizer, 4, CBinaryIsingSpinGlassEvaluation, 25, 1, 0.0009996, 4, 342, 
BinaryGreedyRSOptimizer, 4, CBinaryIsingSpinGlassEvaluation, 49, 1, 0.0210088, 26, 5126, 
BinaryGreedyRSOptimizer, 4, CBinaryIsingSpinGlassEvaluation, 100, 0.976470947265625, 0.1649917, 47, 19035, 
BinaryGreedyRSOptimizer, 4, CBinaryIsingSpinGlassEvaluation, 484, 0.915054321289063, 4.9919953, 65, 126165, 
BinaryGreedyRSOptimizer, 4, CBinaryNKLandscapesEvaluation, 10, 1, 0.0049779, 108, 4827, 
BinaryGreedyRSOptimizer, 4, CBinaryNKLandscapesEvaluation, 50, 0.952041625976563, 0.2339983, 238, 48790, 
BinaryGreedyRSOptimizer, 4, CBinaryNKLandscapesEvaluation, 100, 0.933380126953125, 0.7089701, 183, 74115, 
